1000 2.29e-07
1500 2.65e-07
2000 2.72e-07
2500 2.52e-07
3000 2.62e-07
3500 2.93e-07
4000 2.32e-07
4500 3.45e-07
5000 2.74e-07
5500 2.72e-07
6000 2.75e-07
6500 2.78e-07
7000 2.83e-07
7500 2.7e-07
8000 2.63e-07
8500 2.64e-07
9000 2.71e-07
9500 2.68e-07
10000 2.63e-07
10500 2.54e-07
11000 2.57e-07
11500 3.09e-07
12000 3.14e-07
12500 3.33e-07
13000 3.15e-07
13500 3.14e-07
14000 2.95e-07
14500 2.89e-07
15000 2.87e-07
15500 3.26e-07
16000 2.61e-07
16500 3.34e-07
17000 3.42e-07
17500 3.31e-07
18000 2.82e-07
18500 2.7e-07
19000 3.15e-07
19500 3.26e-07
20000 2.6e-07
20500 3.02e-07
21000 2.53e-07
21500 2.79e-07
22000 2.75e-07
22500 2.89e-07
23000 3.03e-07
23500 2.93e-07
24000 2.73e-07
24500 2.99e-07
25000 3.13e-07
25500 3.23e-07
26000 2.82e-07
26500 2.51e-07
27000 3.26e-07
27500 3.09e-07
28000 2.8e-07
28500 3.25e-07
29000 3.23e-07
29500 3.1e-07
30000 3.2e-07
30500 2.93e-07
31000 3.01e-07
31500 2.92e-07
32000 2.79e-07
32500 2.72e-07
33000 3.18e-07
33500 3.04e-07
34000 3.11e-07
34500 2.95e-07
35000 2.9e-07
35500 3.42e-07
36000 3.25e-07
36500 3.76e-07
37000 2.67e-07
37500 2.85e-07
38000 3.45e-07
38500 3.26e-07
39000 3.25e-07
39500 3.58e-07
40000 2.75e-07
40500 3.46e-07
41000 2.68e-07
41500 2.92e-07
42000 2.64e-07
42500 3.34e-07
43000 3.03e-07
43500 3.03e-07
44000 3.09e-07
44500 2.89e-07
45000 2.92e-07
45500 3.23e-07
46000 3.12e-07
46500 2.88e-07
47000 2.81e-07
47500 3.12e-07
48000 3.24e-07
48500 3.22e-07
49000 3.19e-07
49500 3.19e-07
50000 2.98e-07
50500 2.94e-07
51000 4.85e-07
51500 3.27e-07
52000 3.06e-07
52500 3.09e-07
53000 2.65e-07
53500 3.35e-07
54000 3.18e-07
54500 3.15e-07
55000 3.04e-07
55500 3.7e-07
56000 3.32e-07
56500 2.9e-07
57000 3.39e-07
57500 3.39e-07
58000 2.81e-07
58500 3.03e-07
59000 3.1e-07
59500 3.17e-07
60000 3.17e-07
60500 3.14e-07
61000 2.86e-07
61500 3.32e-07
62000 3.27e-07
62500 3.25e-07
63000 3.01e-07
63500 3.15e-07
64000 2.73e-07
64500 2.59e-07
65000 3.28e-07
65500 2.74e-07
66000 2.94e-07
66500 2.9e-07
67000 3.33e-07
67500 3.13e-07
68000 3.25e-07
68500 3.48e-07
69000 3.42e-07
69500 2.76e-07
70000 2.82e-07
70500 2.97e-07
71000 3.3e-07
71500 3.3e-07
72000 2.79e-07
72500 4.22e-07
73000 3.42e-07
73500 3.5e-07
74000 2.83e-07
74500 2.73e-07
75000 3.04e-07
75500 2.96e-07
76000 3.55e-07
76500 3.25e-07
77000 3.05e-07
77500 2.92e-07
78000 3.36e-07
78500 3.03e-07
79000 3.21e-07
79500 3.3e-07
80000 3.05e-07
80500 3.06e-07
81000 3.14e-07
81500 3.33e-07
82000 2.64e-07
82500 2.78e-07
83000 3.24e-07
83500 3.14e-07
84000 2.69e-07
84500 2.99e-07
85000 2.76e-07
85500 3.02e-07
86000 3.02e-07
86500 3.08e-07
87000 3.23e-07
87500 3.23e-07
88000 3.2e-07
88500 3.13e-07
89000 2.87e-07
89500 2.88e-07
90000 3.11e-07
90500 2.64e-07
91000 3.15e-07
91500 3.23e-07
92000 3.16e-07
92500 3.24e-07
93000 3.08e-07
93500 3.01e-07
94000 2.99e-07
94500 3.38e-07
95000 3.57e-07
95500 3.3e-07
96000 3.01e-07
96500 3e-07
97000 2.94e-07
97500 3.41e-07
98000 2.85e-07
98500 2.63e-07
99000 3.23e-07
99500 3.24e-07
100000 2.77e-07
