1000  1.8e-07
1500  2.35e-07
2000  1.91e-07
2500  3.31e-07
3000  3.5e-07
3500  3.5e-07
4000  3.15e-07
4500  3.44e-07
5000  3.36e-07
5500  4.19e-07
6000  4.69e-07
6500  3.98e-07
7000  4.4e-07
7500  4.21e-07
8000  4.57e-07
8500  3.97e-07
9000  5.27e-07
9500  4.77e-07
10000  5.19e-07
10500  4.69e-07
11000  5.6e-07
11500  5.23e-07
12000  5.52e-07
12500  5.11e-07
13000  5.57e-07
13500  5.54e-07
14000  5.87e-07
14500  5.1e-07
15000  5.15e-07
15500  5.16e-07
16000  5.57e-07
16500  6.46e-07
17000  6.77e-07
17500  6.61e-07
18000  5.37e-07
18500  4.98e-07
19000  5.89e-07
19500  5.17e-07
20000  4.88e-07
20500  4.2e-07
21000  4.47e-07
21500  4.89e-07
22000  4.32e-07
22500  4.22e-07
23000  4.48e-07
23500  3.94e-07
24000  3.94e-07
24500  4.14e-07
25000  3.66e-07
25500  3.42e-07
26000  4.36e-07
26500  3.65e-07
27000  3.54e-07
27500  3.39e-07
28000  3.06e-07
28500  3.2e-07
29000  2.86e-07
29500  3.46e-07
30000  3.19e-07
30500  3.23e-07
31000  3.3e-07
31500  3.38e-07
32000  3.18e-07
32500  3.45e-07
33000  4.03e-07
33500  4.16e-07
34000  4.05e-07
34500  4.15e-07
35000  4.17e-07
35500  4.3e-07
36000  3.88e-07
36500  4.17e-07
37000  3.7e-07
37500  5.73e-07
38000  4.85e-07
38500  5.28e-07
39000  5.62e-07
39500  5.55e-07
40000  4.99e-07
40500  5.68e-07
41000  4.96e-07
41500  4.54e-07
42000  4.51e-07
42500  4.71e-07
43000  5.28e-07
43500  4.58e-07
44000  4.63e-07
44500  4.7e-07
45000  4.45e-07
45500  4.36e-07
46000  4.27e-07
46500  4.26e-07
47000  4.26e-07
47500  4.26e-07
48000  4.21e-07
48500  4.39e-07
49000  4.34e-07
49500  5.44e-07
50000  4.86e-07
50500  4.89e-07
51000  5.16e-07
51500  5.18e-07
52000  4.87e-07
52500  5.17e-07
53000  5.09e-07
53500  5.46e-07
54000  5.14e-07
54500  5.28e-07
55000  5.17e-07
55500  5.2e-07
56000  4.91e-07
56500  5.16e-07
57000  5.31e-07
57500  5.13e-07
58000  4.68e-07
58500  4.86e-07
59000  5.35e-07
59500  5.41e-07
60000  5.24e-07
60500  5e-07
61000  6.02e-07
61500  5.3e-07
62000  4.85e-07
62500  5.16e-07
63000  5.16e-07
63500  5.13e-07
64000  4.21e-07
64500  5.02e-07
65000  5.26e-07
65500  5.02e-07
66000  4.64e-07
66500  5.92e-07
67000  5.3e-07
67500  5.98e-07
68000  5.23e-07
68500  6.39e-07
69000  5.29e-07
69500  6.85e-07
70000  4.79e-07
70500  5.65e-07
71000  5.1e-07
71500  6.19e-07
72000  8.36e-07
72500  6.06e-07
73000  4.93e-07
73500  6.28e-07
74000  4.53e-07
74500  5.56e-07
75000  5.34e-07
75500  6.23e-07
76000  5.28e-07
76500  7.5e-07
77000  5.11e-07
77500  7.34e-07
78000  6.26e-07
78500  7.45e-07
79000  6.02e-07
79500  7.53e-07
80000  5.71e-07
80500  7.4e-07
81000  6.2e-07
81500  7.86e-07
82000  5.58e-07
82500  7.17e-07
83000  5.76e-07
83500  7.12e-07
84000  5.77e-07
84500  6.78e-07
85000  5.66e-07
85500  7.95e-07
86000  6.59e-07
86500  7.45e-07
87000  6.08e-07
87500  7.26e-07
88000  6.29e-07
88500  7.16e-07
89000  6.54e-07
89500  7.77e-07
90000  6.24e-07
90500  6.81e-07
91000  6.65e-07
91500  7.59e-07
92000  6.17e-07
92500  7.32e-07
93000  5.42e-07
93500  6.72e-07
94000  5.71e-07
94500  5.89e-07
95000  8.51e-07
95500  6.18e-07
96000  5.14e-07
96500  5.85e-07
97000  5.57e-07
97500  6.19e-07
98000  5.14e-07
98500  5.56e-07
99000  4.91e-07
99500  7.64e-07
100000  5.07e-07
